Line	Year 1924–1983	Year 1984–2043	Associated element	Heavenly stem	Earthly branch	Associated animal
20	Feb 05 1943–Jan 24 1944	Feb 01 2003–Jan 21 2004	Yin Water	癸	未	Goat
21	Jan 25 1944–Feb 12 1945	Jan 22 2004–Feb 08 2005	Yang Wood	甲	申	Monkey
22	Feb 13 1945–Feb 01 1946	Feb 09 2005–Jan 28 2006	Yin Wood	乙	酉	Rooster
23	Feb 02 1946–Jan 21 1947	Jan 29 2006–Feb 17 2007	Yang Fire	丙	戌	Dog
24	Jan 22 1947–Feb 09 1948	Feb 18 2007–Feb 06 2008	Yin Fire	丁	亥	Pig
25	Feb 10 1948–Jan 28 1949	Feb 07 2008–Jan 25 2009	Yang Earth	戊	子	Rat
26	Jan 29 1949–Feb 16 1950	Jan 26 2009–Feb 13 2010	Yin Earth	己	丑	Ox
27	Feb 17 1950–Feb 05 1951	Feb 14 2010–Feb 02 2011	Yang Metal	庚	寅	Tiger
28	Feb 06 1951–Jan 26 1952	Feb 03 2011–Jan 22 2012	Yin Metal	辛	卯	Rabbit
29	Jan 27 1952–Feb 13 1953	Jan 23 2012–Feb 09 2013	Yang Water	壬	辰	Dragon
30	Feb 14 1953–Feb 02 1954	Feb 10 2013–Jan 30 2014	Yin Water	癸	巳	Snake
31	Feb 03 1954–Jan 23 1955	Jan 31 2014–Feb 18 2015	Yang Wood	甲	午	Horse
32	Jan 24 1955–Feb 11 1956	Feb 19 2015–Feb 07 2016	Yin Wood	乙	未	Goat
33	Feb 12 1956–Jan 30 1957	Feb 08 2016–Jan 27 2017	Yang Fire	丙	申	Monkey
34	Jan 31 1957–Feb 17 1958	Jan 28 2017–Feb 15 2018	Yin Fire	丁	酉	Rooster
35	Feb 18 1958–Feb 07 1959	Feb 16 2018–Feb 04 2019	Yang Earth	戊	戌	Dog
36	Feb 08 1959–Jan 27 1960	Feb 05 2019–Jan 24 2020	Yin Earth	己	亥	Pig
37	Jan 28 1960–Feb 14 1961	Jan 25 2020–Feb 11 2021	Yang Metal	庚	子	Rat
38	Feb 15 1961–Feb 04 1962	Feb 12 2021–Jan 31 2022	Yin Metal	辛	丑	Ox
39	Feb 05 1962–Jan 24 1963	Feb 01 2022–Jan 21 2023	Yang Water	壬	寅	Tiger
40	Jan 25 1963–Feb 12 1964	Jan 22 2023–Feb 09 2024	Yin Water	癸	卯	Rabbit
41	Feb 13 1964–Feb 01 1965	Feb 10 2024–Jan 28 2025	Yang Wood	甲	辰	Dragon
42	Feb 02 1965–Jan 20 1966	Jan 29 2025–Feb 16 2026	Yin Wood	乙	巳	Snake
43	Jan 21 1966–Feb 08 1967	Feb 17 2026–Feb 05 2027	Yang Fire	丙	午	Horse
44	Feb 09 1967–Jan 29 1968	Feb 06 2027–Jan 25 2028	Yin Fire	丁	未	Goat
45	Jan 30 1968–Feb 16 1969	Jan 26 2028–Feb 12 2029	Yang Earth	戊	申	Monkey
46	Feb 17 1969–Feb 05 1970	Feb 13 2029–Feb 02 2030	Yin Earth	己	酉	Rooster
47	Feb 06 1970–Jan 26 1971	Feb 03 2030–Jan 22 2031	Yang Metal	庚	戌	Dog
48	Jan 27 1971–Feb 14 1972	Jan 23 2031–Feb 10 2032	Yin Metal	辛	亥	Pig
49	Feb 15 1972–Feb 02 1973	Feb 11 2032–Jan 30 2033	Yang Water	壬	子	Rat
50	Feb 03 1973–Jan 22 1974	Jan 31 2033–Feb 18 2034	Yin Water	癸	丑	Ox
51	Jan 23 1974–Feb 10 1975	Feb 19 2034–Feb 07 2035	Yang Wood	甲	寅	Tiger
52	Feb 11 1975–Jan 30 1976	Feb 08 2035–Jan 27 2036	Yin Wood	乙	卯	Rabbit
53	Jan 31 1976–Feb 17 1977	Jan 28 2036–Feb 14 2037	Yang Fire	丙	辰	Dragon
54	Feb 18 1977–Feb 06 1978	Feb 15 2037–Feb 03 2038	Yin Fire	丁	巳	Snake
55	Feb 07 1978–Jan 27 1979	Feb 04 2038–Jan 23 2039	Yang Earth	戊	午	Horse
56	Jan 28 1979–Feb 15 1980	Jan 24 2039–Feb 11 2040	Yin Earth	己	未	Goat
57	Feb 16 1980–Feb 04 1981	Feb 12 2040–Jan 31 2041	Yang Metal	庚	申	Monkey
58	Feb 05 1981–Jan 24 1982	Feb 01 2041–Jan 21 2042	Yin Metal	辛	酉	Rooster
59	Jan 25 1982–Feb 12 1983	Jan 22 2042–Feb 09 2043	Yang Water	壬	戌	Dog
60	Feb 13 1983–Feb 01 1984	Feb 10 2043–Jan 29 2044	Yin Water	癸	亥	Pig
